,judgeId,judgeType,userId,problemId,submissionDate,language,status,cpuTime,memory,codeSize,accuracy,judgeDate,score,problemTitle,token
0,5247334,1,bayashi_cl,DPL_1_B,1614102859469,Python,7,0,0,463,0/36,1614102859536,0,,
1,5247335,1,bayashi_cl,DPL_1_B,1614102921251,Python3,4,105,41896,463,36/36,1614102930889,100,,
2,5266463,1,bayashi_cl,GRL_1_A,1614911586967,C++17,4,31,40404,1901,34/34,1614911589495,100,,
3,5915325,1,bayashi_cl,ALDS1_1_A,1632697373277,C++17,0,0,0,3153,0/5,1632697373325,0,,
4,5915328,1,bayashi_cl,ALDS1_1_A,1632697437359,Python3,7,0,0,3098,0/5,1632697437478,0,,
5,5915329,1,bayashi_cl,ALDS1_1_A,1632697481828,C++17,4,0,3440,3098,5/5,1632697482434,100,,
6,5916559,1,bayashi_cl,ALDS1_1_B,1632730892530,C++17,4,0,3368,3040,10/10,1632730893183,100,,
7,5916983,1,bayashi_cl,ALDS1_1_C,1632740954862,C++17,4,0,3432,3190,4/4,1632740955357,100,,
8,5917023,1,bayashi_cl,ALDS1_1_D,1632742610425,C++17,4,1,3856,3017,40/40,1632742611767,100,,
9,5917041,1,bayashi_cl,ALDS1_2_A,1632742937617,C++17,4,0,3352,3177,10/10,1632742938228,100,,
10,5917380,1,bayashi_cl,ALDS1_2_B,1632750210103,C++17,4,0,3440,3157,10/10,1632750210780,100,,
11,5922557,1,bayashi_cl,ALDS1_2_C,1632911123786,C++17,1,0,3364,3991,0/10,1632911124358,0,,
12,5922592,1,bayashi_cl,ALDS1_2_C,1632911710919,C++17,4,0,3372,3989,10/10,1632911711653,100,,
13,5923493,1,bayashi_cl,ALDS1_2_D,1632944168354,C++17,1,0,3440,3556,2/34,1632944168860,4,,
14,5923494,1,bayashi_cl,ALDS1_2_D,1632944399917,C++17,1,0,3368,3556,2/34,1632944400499,4,,
15,5923495,1,bayashi_cl,ALDS1_2_D,1632944586228,C++17,4,20,6988,3495,34/34,1632944589622,100,,
16,5923499,1,bayashi_cl,ALDS1_3_A,1632945597011,C++17,0,0,0,3865,0/10,1632945597078,0,,
17,5923500,1,bayashi_cl,ALDS1_3_A,1632945645796,C++17,1,0,3360,3490,2/10,1632945646363,20,,
18,5923501,1,bayashi_cl,ALDS1_3_A,1632945806371,C++17,4,0,3368,3497,10/10,1632945807040,100,,
19,5923502,1,bayashi_cl,ALDS1_3_B,1632946361667,C++17,4,0,5336,3273,10/10,1632946362386,100,,
20,5923510,1,bayashi_cl,ALDS1_3_C,1632947982294,C++17,4,15,7156,3588,10/10,1632947983351,100,,
