,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
0,20269820,1613775215,abc086_a,abs,bayashi_cl,PyPy3 (7.3.0),100.0,100,AC,69.0
1,20269846,1613775529,abc081_a,abs,bayashi_cl,PyPy3 (7.3.0),100.0,75,AC,72.0
2,20269929,1613777162,abc081_b,abs,bayashi_cl,PyPy3 (7.3.0),200.0,229,AC,66.0
3,20270042,1613779137,abc087_b,abs,bayashi_cl,PyPy3 (7.3.0),200.0,322,AC,112.0
4,20270134,1613780104,abc083_b,abs,bayashi_cl,PyPy3 (7.3.0),200.0,190,AC,67.0
5,20270218,1613780875,abc088_b,abs,bayashi_cl,PyPy3 (7.3.0),200.0,143,AC,68.0
6,20270319,1613781594,abc085_b,abs,bayashi_cl,PyPy3 (7.3.0),200.0,122,AC,68.0
7,20270339,1613781718,abc085_b,abs,bayashi_cl,PyPy3 (7.3.0),200.0,74,AC,67.0
8,20270426,1613782482,abc085_c,abs,bayashi_cl,PyPy3 (7.3.0),0.0,256,WA,75.0
9,20270460,1613782838,abc085_c,abs,bayashi_cl,PyPy3 (7.3.0),300.0,257,AC,71.0
10,20270827,1613785006,arc065_a,abs,bayashi_cl,PyPy3 (7.3.0),300.0,382,AC,140.0
11,20271109,1613786504,arc089_a,abs,bayashi_cl,PyPy3 (7.3.0),300.0,313,AC,234.0
12,20273349,1613798052,abc191_a,abc191,bayashi_cl,PyPy3 (7.3.0),100.0,112,AC,74.0
13,20273460,1613798475,abc191_b,abc191,bayashi_cl,PyPy3 (7.3.0),200.0,156,AC,111.0
14,20274942,1613803310,abc191_c,abc191,bayashi_cl,PyPy3 (7.3.0),0.0,465,RE,92.0
15,20275332,1613804408,abc191_c,abc191,bayashi_cl,PyPy3 (7.3.0),300.0,471,AC,69.0
16,20284638,1613822508,abc192_a,abc192,bayashi_cl,PyPy3 (7.3.0),100.0,40,AC,70.0
17,20290785,1613822733,abc192_b,abc192,bayashi_cl,PyPy3 (7.3.0),0.0,99,WA,62.0
18,20293919,1613822894,abc192_b,abc192,bayashi_cl,PyPy3 (7.3.0),200.0,116,AC,87.0
19,20302221,1613823634,abc192_c,abc192,bayashi_cl,PyPy3 (7.3.0),300.0,184,AC,141.0
20,20314090,1613825127,abc192_d,abc192,bayashi_cl,PyPy3 (7.3.0),0.0,273,TLE,2207.0
21,20327835,1613827015,abc192_f,abc192,bayashi_cl,PyPy3 (7.3.0),0.0,318,WA,2210.0
22,20329447,1613827234,abc192_f,abc192,bayashi_cl,PyPy3 (7.3.0),0.0,418,WA,2213.0
23,20337170,1613828186,abc192_d,abc192,bayashi_cl,Python (3.8.2),0.0,328,TLE,2206.0
24,20372257,1613901347,abc192_d,abc192,bayashi_cl,Python (3.8.2),400.0,469,AC,31.0
25,20381639,1613910474,arc113_a,arc113,bayashi_cl,PyPy3 (7.3.0),300.0,400,AC,122.0
26,20388071,1613912151,arc113_b,arc113,bayashi_cl,PyPy3 (7.3.0),0.0,250,WA,75.0
27,20395819,1613914742,arc113_c,arc113,bayashi_cl,PyPy3 (7.3.0),0.0,393,RE,2210.0
28,20398089,1613915559,arc113_c,arc113,bayashi_cl,PyPy3 (7.3.0),0.0,500,RE,2211.0
29,20401478,1613917099,arc113_b,arc113,bayashi_cl,PyPy3 (7.3.0),400.0,234,AC,63.0
30,20407082,1613932300,arc113_c,arc113,bayashi_cl,PyPy3 (7.3.0),0.0,365,WA,147.0
31,20407122,1613932510,arc113_c,arc113,bayashi_cl,PyPy3 (7.3.0),500.0,365,AC,145.0
32,20407905,1613939551,arc113_d,arc113,bayashi_cl,PyPy3 (7.3.0),0.0,254,WA,2208.0
33,20407931,1613940051,arc113_d,arc113,bayashi_cl,PyPy3 (7.3.0),600.0,298,AC,235.0
34,20407943,1613940148,arc113_d,arc113,bayashi_cl,PyPy3 (7.3.0),0.0,269,WA,62.0
35,20407951,1613940251,arc113_d,arc113,bayashi_cl,PyPy3 (7.3.0),600.0,274,AC,227.0
36,20415898,1613979138,abc191_d,abc191,bayashi_cl,Python (3.8.2),400.0,265,AC,804.0
37,20417002,1613982334,abc191_e,abc191,bayashi_cl,Python (3.8.2),500.0,1434,AC,2555.0
38,20417831,1613984403,abc191_f,abc191,bayashi_cl,PyPy3 (7.3.0),0.0,291,WA,448.0
